,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1,Trade_Date,CALL_USDJPY,PUT_USDJPY,Returns,Basic_PL,Total_Basic_PL,AR_Forecast_Returns,AR_Forecast_Diff,AR_Comb_Forecast,AR_Comb_PL,Total_AR_Comb_PL,Forecast_Volatility,hvol21,GARCH_PL,Total_GARCH__PL
11,11,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-29,29.08.2006,97741,CME,0,97,244441,95848,38581,23082,31240,3524,1662,29955,118718,20086,7613,1971,0,209486,207624,34955,36817,17246.0,13746.0,-3921.0,325.0,1105.0,951.0,-57.0,-470.0,17774.0,127.0,58.0,-787.0,0.0,14834.0,14412.0,2412.0,2834.0,100,39.2,15.8,9.4,12.8,1.4,0.7,12.3,48.6,8.2,3.1,0.8,0.0,85.7,84.9,14.3,15.1,117,21.0,11.0,7.0,8.0,4.0,,21.0,37.0,4.0,11.0,4.0,0.0,66.0,65.0,30.5,29.2,46.9,49.3,26.1,23.9,39.9,37.7,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.597035103886,LONG,0.426001829962,SHORT,0.797261534921,LONG,2006-09-04,-5173.18,998.54,0.108195017982,998.54,5131.18,0.00763408637902,0.42925396473,0.332294941837,998.54,6067.85,0.191094114961,0.306914750166,998.54,3373.7
12,12,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-09-05,05.09.2006,97741,CME,0,97,228792,81599,39923,23540,31145,4165,1660,26200,100473,20311,9144,2430,0,193599,192502,35193,36290,-15649.0,-14249.0,1342.0,458.0,-95.0,641.0,-2.0,-3755.0,-18245.0,225.0,1531.0,459.0,0.0,-15887.0,-15122.0,238.0,-527.0,100,35.7,17.4,10.3,13.6,1.8,0.7,11.5,43.9,8.9,4.0,1.1,0.0,84.6,84.1,15.4,15.9,116,19.0,10.0,7.0,8.0,5.0,,20.0,36.0,6.0,13.0,4.0,0.0,66.0,66.0,30.2,30.7,46.6,48.8,25.0,22.7,38.7,34.3,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.58633647265,LONG,0.342950247692,SHORT,0.764089493061,LONG,2006-09-11,943.98,1077.68,-0.08305158227,1077.68,6208.86,-0.0112578102293,0.339089378885,0.414703211322,1077.68,7145.53,0.176586853348,0.196477548662,1077.68,4451.38
13,13,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-09-12,12.09.2006,97741,CME,0,97,275585,103726,32635,46928,36012,6224,625,43824,129659,2897,7461,2926,0,241473,221894,34112,53691,46793.0,22127.0,-7288.0,23388.0,4867.0,2059.0,-1035.0,17624.0,29186.0,-17414.0,-1683.0,496.0,0.0,47874.0,29392.0,-1081.0,17401.0,100,37.6,11.8,17.0,13.1,2.3,0.2,15.9,47.0,1.1,2.7,1.1,0.0,87.6,80.5,12.4,19.5,109,19.0,9.0,11.0,7.0,6.0,4.0,17.0,35.0,4.0,12.0,4.0,0.0,63.0,65.0,33.6,32.6,54.3,49.0,28.3,23.4,44.7,33.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.49477470415,LONG,0.521344079319,SHORT,0.70527512075,LONG,2006-09-18,902.85,-305.46,0.178393831627,-305.46,5903.4,0.0145685298026,0.528939296076,0.367128823982,-305.46,6840.07,0.180024140994,0.270699969915,-305.46,4145.92
14,14,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-09-19,19.09.2006,97741,CME,0,97,225098,114980,39433,1033,34971,6848,614,22390,124015,13038,8480,3503,0,195506,188484,29592,36614,-50487.0,11254.0,6798.0,-45895.0,-1041.0,624.0,-11.0,-21434.0,-5644.0,10141.0,1019.0,577.0,0.0,-45967.0,-33410.0,-4520.0,-17077.0,100,51.1,17.5,0.5,15.5,3.0,0.3,9.9,55.1,5.8,3.8,1.6,0.0,86.9,83.7,13.1,16.3,107,15.0,10.0,,7.0,7.0,,14.0,36.0,,13.0,4.0,0.0,54.0,61.0,39.8,29.5,61.9,47.8,39.8,29.0,59.8,45.7,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.694136129231,LONG,0.489252847882,SHORT,0.67249336426,LONG,2006-09-25,-742.11,1038.71,-0.032091231437,1038.71,6942.11,-0.00622379823747,0.48620783687,0.516776367801,1038.71,7878.78,0.164038351588,0.331228241907,1038.71,5184.63
15,15,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-09-26,26.09.2006,97741,CME,0,97,221240,114308,32185,1774,34172,6168,614,19677,129528,13145,9860,2246,0,193550,185660,27690,35580,-3858.0,-672.0,-7248.0,741.0,-799.0,-680.0,0.0,-2713.0,5513.0,107.0,1380.0,-1257.0,0.0,-1956.0,-2824.0,-1902.0,-1034.0,100,51.7,14.5,0.8,15.4,2.8,0.3,8.9,58.5,5.9,4.5,1.0,0.0,87.5,83.9,12.5,16.1,107,15.0,10.0,,7.0,6.0,,14.0,37.0,,15.0,,0.0,55.0,60.0,37.8,28.6,58.0,46.0,37.8,27.3,56.5,43.1,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.73624208304,LONG,0.560593338931,SHORT,0.6941993059,LONG,2006-10-02,-4769.15,952.51,0.071340491049,952.51,7894.62,0.00399348878697,0.562832062144,0.498818145736,952.51,8831.29,0.153840455843,0.334507315584,952.51,6137.14
16,16,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-03,03.10.2006,97741,CME,0,97,243819,131049,34167,1822,34034,6241,575,23534,148110,13152,9003,3697,0,213169,207764,30650,36055,22579.0,16741.0,1982.0,48.0,-138.0,73.0,-39.0,3857.0,18582.0,7.0,-857.0,1451.0,0.0,19619.0,22104.0,2960.0,475.0,100,53.7,14.0,0.7,14.0,2.6,0.2,9.7,60.7,5.4,3.7,1.5,0.0,87.4,85.2,12.6,14.8,116,20.0,6.0,,7.0,6.0,,17.0,40.0,,14.0,5.0,0.0,63.0,61.0,36.5,32.8,55.7,50.8,36.5,32.8,54.3,47.7,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.725781268206,LONG,0.586395990703,SHORT,0.69008069522,LONG,2006-10-09,813.13,977.1,0.025802651772,977.1,8871.72,-0.00050487170808,0.586099935958,0.563909196544,977.1,9808.39,0.142609615102,0.356743192372,977.1,7114.24
17,17,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-10,10.10.2006,97741,CME,0,97,267803,147171,32983,1893,34554,6933,567,27820,170434,13177,8695,2342,0,233877,228329,33926,39474,23984.0,16122.0,-1184.0,71.0,520.0,692.0,-8.0,4286.0,22324.0,25.0,-308.0,-1355.0,0.0,20708.0,20565.0,3276.0,3419.0,100,55.0,12.3,0.7,12.9,2.6,0.2,10.4,63.6,4.9,3.2,0.9,0.0,87.3,85.3,12.7,14.7,121,19.0,7.0,5.0,7.0,7.0,,19.0,43.0,4.0,14.0,4.0,0.0,64.0,69.0,36.5,31.0,54.7,48.0,36.5,31.0,53.4,46.1,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.719349924844,LONG,0.633835496298,SHORT,0.665774821028,LONG,2006-10-16,815.28,854.37,0.047439505595,854.37,9726.09,0.0016324797785,0.634870219929,0.592697640502,854.37,10662.76,0.134883984742,0.191143346952,854.37,7968.61
18,18,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-17,17.10.2006,97741,CME,0,97,261575,142480,36929,2038,35283,6975,567,24854,161279,13163,9098,3638,0,227483,224589,34092,36986,-6228.0,-4691.0,3946.0,145.0,729.0,42.0,0.0,-2966.0,-9155.0,-14.0,403.0,1296.0,0.0,-6394.0,-3740.0,166.0,-2488.0,100,54.5,14.1,0.8,13.5,2.7,0.2,9.5,61.7,5.0,3.5,1.4,0.0,87.0,85.9,13.0,14.1,124,19.0,8.0,6.0,7.0,7.0,,17.0,45.0,4.0,14.0,6.0,0.0,63.0,74.0,35.2,32.1,53.9,48.9,35.2,31.6,52.5,46.8,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.732943647822,LONG,0.588326115189,SHORT,0.669884992191,LONG,2006-10-23,943.76,-5384.2,-0.045509381109,-5384.2,4341.89,-0.00754928217258,0.583884675336,0.627341889573,-5384.2,5278.56,0.128700974313,0.183346595333,-5384.2,2584.41
19,19,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-24,24.10.2006,97741,CME,0,97,282998,156032,38602,2071,36183,6852,555,30624,181030,13888,7951,3229,0,247304,246227,35694,36771,21423.0,13552.0,1673.0,33.0,900.0,-123.0,-12.0,5770.0,19751.0,725.0,-1147.0,-409.0,0.0,19821.0,21638.0,1602.0,-215.0,100,55.1,13.6,0.7,12.8,2.4,0.2,10.8,64.0,4.9,2.8,1.1,0.0,87.4,87.0,12.6,13.0,133,20.0,9.0,6.0,7.0,7.0,,19.0,51.0,5.0,13.0,6.0,0.0,65.0,82.0,34.8,32.0,51.8,48.7,34.8,32.0,50.4,46.8,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.710622052973,LONG,0.603337546369,SHORT,0.681561519693,LONG,2006-10-30,863.23,1017.08,0.01501143118,1017.08,5358.97,-0.00157085993183,0.602389787592,0.590154392601,1017.08,6295.64,0.122345743319,0.168243914104,1017.08,3601.49
20,20,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-10-31,31.10.2006,97741,CME,0,97,226607,100087,61322,3044,34394,5840,579,26850,108521,14501,8772,1666,0,188227,195473,38380,31134,-56391.0,-55945.0,22720.0,973.0,-1789.0,-1012.0,24.0,-3774.0,-72509.0,613.0,821.0,-1563.0,0.0,-59077.0,-50754.0,2686.0,-5637.0,100,44.2,27.1,1.3,15.2,2.6,0.3,11.8,47.9,6.4,3.9,0.7,0.0,83.1,86.3,16.9,13.7,118,17.0,13.0,6.0,7.0,5.0,,22.0,36.0,7.0,14.0,,0.0,65.0,69.0,35.4,34.2,52.8,50.9,35.4,33.0,49.8,47.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.603312378574,LONG,0.240166285647,SHORT,0.709698265149,LONG,2006-11-06,680.49,824.22,-0.363171260722,824.22,6183.19,-0.0389288485447,0.230816888688,0.55490986087,824.22,7119.86,0.202977077579,0.544181159824,824.22,4425.71
